theta drag lift
0.0 2049.600536497906 530.726794607322
0.1 2039.9860947889413 25280.43934526016
0.2 2009.990563150656 49761.89299114844
0.3 1960.0067167312184 73746.24119783132
0.4 1890.345614494745 97006.52683017698
0.5 1801.769097081509 119286.65238926202
0.6 1695.2065174479462 140374.815077114
0.7 1571.7233348461261 160060.4262272676
0.8 1433.9718413154617 178141.2657760011
0.9 1280.280757914202 194465.05119279196
1.0 1113.036304056718 208931.33924215418
1.1 933.7202061112114 221495.69742875567
1.2 746.9769009109873 231974.50471825717
1.3 553.1640046143237 240179.88653458495
1.4 356.22092858518374 243976.56885998126
